Component,Quantity Per PCB,References,Value,Footprint,Tolerance,MFN,MPN,D1N,D1PN,Maximum Voltage,Maximum Power
1,3,C1 C64 C68,100n,C_0603_1608Metric,10%,Samsung,CL10B104KC8NNNC,Digikey,1276-6807-1-ND,100.0V,
2,19,C13 C14 C16 C19 C21 C24 C26 C32 C39 C40 C42 C46 C50 C53 C56 C61 C62 C63 C73,100n,C_0402_1005Metric,10%,Samsung,CL05A104KA5NNNC,Digikey,1276-1043-1-ND,25.0V,
3,5,C3 C5 C9 C22 C25,100u,CP_Elec_10x10,20%,Panasonic,EEE-1JA101P,Digikey,PCE3942CT-ND,63.0V,
4,2,C54 C57,16p,C_0402_1005Metric,5%,Murata,GJM1555C1H160GB01D,Digikey,490-8081-1-ND,50.0V,
5,12,C2 C15 C18 C20 C27 C30 C36 C38 C48 C52 C60 C67,1u,C_0402_1005Metric,10%,Murata,GRM155R61E105KA12D,Digikey,490-10017-1-ND,25.0V,
6,5,C12 C23 C31 C35 C41,22u,C_1210_3225Metric,10%,Samsung,CL32A226KAJNNNE,Digikey,1276-1101-1-ND,25V,
7,4,C8 C10 C47 C49,2u2,C_0402_1005Metric,10%,Murata,GRM155R61E225KE11D,Digikey,490-12703-1-ND,25.0V,
8,1,C17,470n,C_0402_1005Metric,10%,Samsung,CL05A474KP5NNNC,Digikey,1276-1173-1-ND,10.0V,
9,1,C34,4n7,C_0402_1005Metric,10%,Yageo,CC0402KRX7R8BB472,Digikey,311-1039-1-ND,25V,
10,4,C4 C6 C7 C45,4u7,C_1210_3225Metric,10%,TDK,C3225X7S2A475K200AB,Digikey,445-6042-1-ND,100V,
11,1,C11,82p,C_0402_1005Metric,10%,AVX Corporation,04025A820FAT2A,Digikey,478-10115-1-ND,50V,
12,2,D0 D2,LTST-C190GKT,D_0603_1608Metric,,Lite-On,LTST-C190GKT,Digikey,160-1183-1-ND,,
13,2,D1 D4,SMF3.3,D_SOD-123F,,Littelfuse,SMF3.3,Digikey,F7701CT-ND,,
14,1,D3,SMLP34RGB,rhom-SMLP34RGB-fp,,Rohm,SMLP34RGB2W3,Digikey,SMLP34RGB2W3CT-ND,,
15,2,J1 J4,43650-0510,molex-436500511,,Molex,436500510,Digikey,WM1888CT-ND,,
16,1,J2,436500313,molex-microfit-3-pkg,,Molex,436500313,Digikey,WM1896CT-ND,,
17,1,J5,BONUS,PinHeader_2x08_P2.54mm_Horizontal,,DNP,DNP,DNP,DNP,,
18,1 (DNF),J3,DNP,TC2030-MCP-NL-pkg,,DNP,DNP,DNP,DNP,,
19,1,L2,100u,L_7.3x7.3_H4.5,20%,Wurth,744777920,Digikey,732-1199,,
20,1,R1,10k,R_0402_1005Metric,1%,Yageo,AC0402FR-0710KL,Digikey,YAG3436CT-ND,,0.0625W
21,6,R2 R5 R10 R19 R27 R50,150R,R_0402_1005Metric,1%,Panasonic,ERJ-2RKF1500X,Digikey,P150LCT-ND,,0.0625W
22,1,R17,180k,R_0402_1005Metric,1%,Yageo,RC0402FR-07180KL,Digikey,311-180KLRCT-ND,,0.0625W
23,1,R8,1M,R_0402_1005Metric,1%,Yageo,RC0402FR-071ML,Digikey,311-1.00MLRCT-ND,,0.0625W
24,1,R32,1R,R_0805_2012Metric,1%,Panasonic,ERJ-6DQF1R0V,Digikey,P19268CT-ND,,0.333W
25,6,R9 R21 R39 R55 R61 R63,2k21,R_0402_1005Metric,1%,Panasonic,ERJ-2RKF2211X,Digikey,P2.21KLCT-ND,,0.0625W
26,1,R3,47.5k,R_0402_1005Metric,1%,Yageo,RC0402FR-0747K5L,Digikey,311-47.5KLRCT-ND,,0.0625W
27,3,R0 R15 R62,49k9,R_0603_1608Metric,1%,Panasonic,ERJ-3EKF4992V,Digikey,P49.9KHCT-ND,,0.0625W
28,2,R4 R6,56R2,R_0402_1005Metric,1%,Yageo,RC0402FR-0756R2L,Digikey,311-56.2LRCT-ND,,0.0625W
29,1,R16,681k,R_0402_1005Metric,1%,Yageo,RC0402FR-07681KL,Digikey,YAG3212CT-ND,,0.0625W
30,1,R11,91k,R_0402_1005Metric,1%,Yageo,RC0402FR-0791KL,Digikey,311-91.0KLRCT-ND,,0.0625W
31,1,S1,B3U-1000P,SW_B3U-1000P,,Omron,B3U-1000P,Digikey,SW1020CT-ND,,
32,1,U13,AS5047U,TSSOP-14_4.4x5mm_P0.65mm,,AMS,AS5047U-HTSM,Mouser,985-AS5047U-HTSM,,
33,1,U5,DRV8312,HTSSOP-44,,TI,DRV8312DDWR,Digikey,296-29649-1-ND,,
34,1,U2,IIS328DQ,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,ST,IIS328DQTR,Digikey,497-15701-1-ND,,
35,3,U10 U11 U14,INA253,TSSOP-20_4.4x6.5mm_P0.65mm,,TI,INA253A2IPW,Digikey,296-53071-ND,,
36,1,U6,ISL32458E,SOIC-8_3.9x4.9mm_P1.27mm,,Renesas,ISL32458EIBZ-T7A,Digikey,ISL32458EIBZ-T7ACT-ND,,
37,1,U4,LM46000,PWP0016G,,TI,LM46000PWPR,Digikey,296-40222-1-ND,,
38,1,U1,LMZ21700SIL,SIL0008E,,TI,LMZ21700SILR,Digikey,296-44325-1-ND,,
39,1,U12,MCP9808,MSOP-8_3x3mm_P0.65mm,,Microchip,MCP9808T-E/MS,Digikey,MCP9808T-E/MSCT-ND,,
40,1,U7,SN74LVC1G66DBV,SOT-23-5,,TI,SN74LVC1G66DBV,Digikey,296-13253-1-ND,,
41,1,U9,STM32F405RG,LQFP-64_10x10mm_P0.5mm,,ST,STM32F405RGT6,Digikey,497-11767-ND,,
42,1,U3,TLV702,SOT-23-5,,TI,TLV70233DBVR,Digikey,296-32415-1-ND,,
43,1,X0,ABM7-8.000MHZ-D2Y-T,ABM7-8MHZ-D2Y-T-pkg,,Abracon LLC,ABM7-8.000MHZ-D2Y-T,Digikey,535-9831-1-ND,,





Component Groups:,43
Component Count:,107
Fitted Components:,106
Number of PCBs:,1
Total components:,106
Schematic Version:,A
Schematic Date:,2019-08-22
PCB Variant:,['default']
BoM Date:,Fri 04 Dec 2020 05:11:03 PM PST
Schematic Source:,BLDC.kicad_sch
KiCad Version:,Eeschema 5.99.0-unknown-dd374e12a~102~ubuntu20.04.1
